company,category,year,revenue,gross_profit,gross_profit_margin,net_income,net_profit_margin,ebitda,ebitda_margin
AMZN,LOGI,2011,48077.0,10789.0,22.441084094265449,631.0,1.3125,1945.0,4.0455935270503574
GOOG,IT,2011,37905.0,24717.0,65.207756232686975,9737.0,25.6879,13593.0,35.860704392560351
MCD,FOOD,2010,24074.6,9637.3,40.030987015360587,4946.3,20.5457,8749.3,36.342452211044005
NVDA,ELEC,2010,3326.445,1176.923,35.380804432359469,-67.987,-2.0438,97.7189,2.9376376281585896
SHLDQ,Finance,2010,43360.0,11986.0,27.6429889298893,235.0,0.542,1561.0,3.6000922509225091
AAPL,IT,2010,65225.0,25684.0,39.377539287083174,14013.0,21.4841,19412.0,29.761594480643929
PCG,Manufacturing,2010,13841.0,8652.0,62.5099342533054,1099.0,7.9402,4213.0,30.438552127736436
GOOG,IT,2010,29321.0,18904.0,64.472562327342175,8505.0,29.0065,11777.0,40.165751509157261
AIG,Bank,2010,72829.0,16787.0,23.049883974790262,2046.0,2.8093,21166.0,29.062598690082247
BCS,BANK,2010,49030.07,49030.07,100.0,7034.11,14.4688,1.0,0.0020395646997852543
INTC,ELEC,2010,43623.0,28491.0,65.311876762258436,11464.0,26.2797,20226.0,46.365449418884538
MSFT,IT,2010,62484.0,50089.0,80.162921707957238,18760.0,30.0237,26771.0,42.84456820946162
AMZN,LOGI,2010,34204.0,7643.0,22.345339726347795,1152.0,3.368,1974.0,5.771254823997193
MSFT,IT,2009,58437.0,46282.0,79.199822030562828,14569.0,24.9311,22925.0,39.230282184232593
INTC,ELEC,2009,35127.0,19561.0,55.686508953226863,4369.0,12.4377,10763.0,30.640248242092976
AIG,Bank,2009,75447.0,18614.0,24.671623788884915,-12244.0,-16.2286,27765.0,36.800668018609088
AAPL,IT,2009,42905.0,17222.0,40.139843841044168,8235.0,19.1936,12474.0,29.073534553082393
NVDA,ELEC,2009,3424.859,1174.269,34.286637785672347,-30.041,-0.8771,114.3228,3.3380293904070211
SHLDQ,Finance,2009,46770.0,12652.0,27.051528757750692,53.0,0.1133,1283.0,2.7432114603378235
GOOG,IT,2009,23651.0,14807.0,62.606232294617556,6520.0,27.5675,9836.0,41.588093526700774
BCS,BANK,2009,45992.04,45992.04,100.0,5497.87,12.0558,1.0,0.0021742892900597582
MCD,FOOD,2009,22744.7,8791.8,38.654279898174075,4551.0,20.0091,8057.2,35.424516480762549
PCG,Manufacturing,2009,13399.0,8397.0,62.668855884767517,1220.0,9.1052,4051.0,30.233599522352417
AMZN,LOGI,2009,24509.0,5531.0,22.567220204822718,902.0,3.6803,1507.0,6.1487616793830835
